Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,labels
"Ilisia, Athens",37.975425,23.7545296,Σκαλάκια,37.976482176803884,23.756226566880645,Grilled Meat Restaurant,0
"Ilisia, Athens",37.975425,23.7545296,Vlassis,37.97748674556186,23.75491750327689,Greek Restaurant,0
"Ilisia, Athens",37.975425,23.7545296,Κίτρινος Σκίουρος,37.975870404890166,23.75590672181767,Brazilian Restaurant,0
"Ilisia, Athens",37.975425,23.7545296,Crowne Plaza Club Lounge,37.97685714127722,23.755071641867456,Restaurant,0
"Ilisia, Athens",37.975425,23.7545296,Πάρκο Συγγρός,37.97376717086941,23.752797617030602,Park,0
"Ilisia, Athens",37.975425,23.7545296,Crowne Plaza,37.9768335,23.7551864,Hotel,0
"Ilisia, Athens",37.975425,23.7545296,Everest,37.97740004397099,23.755280755757383,Sandwich Place,0
"Ilisia, Athens",37.975425,23.7545296,Saloon,37.97589170373448,23.75599345916136,Piano Bar,0
"Ilisia, Athens",37.975425,23.7545296,Crowne Plaza Rooftop Restaurant,37.976905,23.755218,Restaurant,0
Kerameikos,37.97863355,23.71822090937423,Hammam Baths,37.97845756580087,23.72057057150401,Spa,0
Kerameikos,37.97863355,23.71822090937423,ΡΑΚΟΡ,37.9803908807664,23.717081847182858,Greek Restaurant,0
Kerameikos,37.97863355,23.71822090937423,Museum of Islamic Art (Μουσείο Ισλαμικής Τέχνης),37.97922797216696,23.72030481735207,Art Museum,0
Kerameikos,37.97863355,23.71822090937423,Hotel Ερμού,37.977785654409125,23.716208007298707,Nightclub,0
Kerameikos,37.97863355,23.71822090937423,BIOS,37.97983456638511,23.71814535520918,Event Space,0
Kerameikos,37.97863355,23.71822090937423,Acro,37.97871964391595,23.715931083667407,Nightclub,0
Kerameikos,37.97863355,23.71822090937423,Archaeological Site of Kerameikos (Αρχαιολογικός Χώρος Κεραμεικού),37.979666204603696,23.719775072951688,Historic Site,0
Kerameikos,37.97863355,23.71822090937423,Akanthus Stage // Διονύσης Σχοινάς,37.97945706079863,23.715879434733946,Nightclub,0
Kerameikos,37.97863355,23.71822090937423,Tesla Bar,37.97973163491237,23.718236706388456,Cocktail Bar,0
Kerameikos,37.97863355,23.71822090937423,Φούρνος Δήμου,37.97653790352661,23.717305044593903,Bakery,0
Kerameikos,37.97863355,23.71822090937423,Θησείον,37.97845007252923,23.72104710034203,Theater,0
Kerameikos,37.97863355,23.71822090937423,Eridanus Luxury Art Hotel,37.9801702756459,23.718381035450538,Hotel,0
Kerameikos,37.97863355,23.71822090937423,ΧΟρΟLOGIE,37.98009016445293,23.71878682588516,Dance Studio,0
Kerameikos,37.97863355,23.71822090937423,Το Στέκι του Ηλία Νο2,37.977078374278726,23.71823496406343,Greek Restaurant,0
Kerameikos,37.97863355,23.71822090937423,Chez Lucien,37.979805,23.718086,Bistro,0
Kerameikos,37.97863355,23.71822090937423,Jason Inn Hotel,37.9785848687022,23.720580860346335,Hotel,0
Kerameikos,37.97863355,23.71822090937423,Taverna at Bios,37.980053,23.717972,Greek Restaurant,0
Kerameikos,37.97863355,23.71822090937423,Χώρος Τέχνης Ασωμάτων,37.97811367968124,23.720866954979144,Performing Arts Venue,0
Kerameikos,37.97863355,23.71822090937423,Vox,37.97919971782774,23.71575797755561,Nightclub,0
Kerameikos,37.97863355,23.71822090937423,Cube Project,37.980351692674,23.717988285115943,Bar,0
Kerameikos,37.97863355,23.71822090937423,Kolaz (Κολάζ),37.979856590906074,23.71693210568243,Café,0
Kerameikos,37.97863355,23.71822090937423,Mezzanine,37.97785010926536,23.71617919463196,Nightclub,0
Kolonaki,37.9769749,23.7408135,Museum of Cycladic Art (Μουσείο Κυκλαδικής Τέχνης),37.97584344774846,23.742230726445747,History Museum,0
Kolonaki,37.9769749,23.7408135,Άλ3ξ,37.97839189147874,23.741426467881865,Italian Restaurant,0
Kolonaki,37.9769749,23.7408135,Dry,37.97663363463448,23.740716049378445,Café,0
Kolonaki,37.9769749,23.7408135,Benaki Museum (Μουσείο Μπενάκη),37.97595883982678,23.74047222263305,Museum,0
Kolonaki,37.9769749,23.7408135,Me Kolonaki,37.976543,23.742457,Café,0
Kolonaki,37.9769749,23.7408135,TGI Fridays,37.975779310606804,23.741269987892597,American Restaurant,0
Kolonaki,37.9769749,23.7408135,The Fitting Room,37.97629471159812,23.742791219531163,Gym / Fitness Center,0
Kolonaki,37.9769749,23.7408135,Ruins Athens Urban Area,37.97768363483082,23.740870345927444,Cocktail Bar,0
Kolonaki,37.9769749,23.7408135,Chez Michel,37.97665796586328,23.74258526678501,Café,0
Kolonaki,37.9769749,23.7408135,Φάρμα Μπράλου - Ψητοκρεοπωλείο,37.977634,23.739359,Grilled Meat Restaurant,0
Kolonaki,37.9769749,23.7408135,Impasto,37.977016,23.739172,Pizza Place,0
Kolonaki,37.9769749,23.7408135,Δεξαμενή,37.97897945369829,23.741899071760404,Café,0
Kolonaki,37.9769749,23.7408135,it,37.97875937258704,23.739418711773535,Comfort Food Restaurant,0
Kolonaki,37.9769749,23.7408135,Ο Δρόμος του Τσαγιού,37.976701133785056,23.74210494535823,Tea Room,0
Kolonaki,37.9769749,23.7408135,T5,37.97772853386079,23.740802724472832,Bar,0
Kolonaki,37.9769749,23.7408135,Mayor,37.976734208256794,23.74053115225007,Restaurant,0
Kolonaki,37.9769749,23.7408135,Da Capo,37.97743975043247,23.74101529919522,Café,0
Kolonaki,37.9769749,23.7408135,B&M Theocharakis Foundation for the Fine Arts & Music (Ίδρυμα Εικαστικών Τεχνών & Μουσικής Β&Μ Θεοχαράκη),37.976034618579085,23.738376772622694,Art Museum,0
Kolonaki,37.9769749,23.7408135,Dharma,37.97779195449864,23.74075260668855,Cocktail Bar,0
Kolonaki,37.9769749,23.7408135,Κυλικείο Μουσείου Μπενάκη,37.97603218023415,23.740409188364723,Café,0
Koukaki,37.9634559,23.7220234,ΜΠΕΛ ΡΕΫ,37.96245177492908,23.722703078727303,Café,0
Koukaki,37.9634559,23.7220234,Ο Λόλος,37.96330952374331,23.721635025911773,Meze Restaurant,0
Koukaki,37.9634559,23.7220234,Coffee House Food&Drink,37.964272,23.723019,Café,0
Koukaki,37.9634559,23.7220234,Strange Brew,37.962492,23.723034,Beer Bar,0
Koukaki,37.9634559,23.7220234,ΤΖΑΪΑΝΤ,37.962467,23.722555,Pizza Place,0
Koukaki,37.9634559,23.7220234,Neratzia,37.963766,23.72195,Café,0
Koukaki,37.9634559,23.7220234,Ρίζος,37.96349506034776,23.72000023739696,Bakery,0
Koukaki,37.9634559,23.7220234,HIIT,37.962812624349716,23.7215196588885,Gymnastics Gym,0
Koukaki,37.9634559,23.7220234,Spirtokouto (Σπιρτόκουτο),37.9628985892413,23.722159145169428,Bar,0
Koukaki,37.9634559,23.7220234,Papadalup,37.96327148786411,23.721695670107295,Café,0
Koukaki,37.9634559,23.7220234,Δύο Δεκάρες η Οκά,37.96385933503549,23.72343843301012,Magirio,0
Koukaki,37.9634559,23.7220234,Pizzeria Romas,37.96358302042667,23.72294247150421,Pizza Place,0
Koukaki,37.9634559,23.7220234,BoBo - Boheme Bourgeois,37.96316506851713,23.724219190171382,Wine Bar,0
Koukaki,37.9634559,23.7220234,Koukles (Κούκλες),37.962585617559014,23.7237004630163,Gay Bar,0
Koukaki,37.9634559,23.7220234,Umami Panda (Asian Food),37.963155,23.721716,Asian Restaurant,0
Koukaki,37.9634559,23.7220234,Μικρή Βενετία,37.96279110973635,23.72227927530303,Meze Restaurant,0
Koukaki,37.9634559,23.7220234,Materia Prima,37.963367011572544,23.724706974450232,Wine Bar,0
Koukaki,37.9634559,23.7220234,Indian Chef,37.962781309564086,23.724580400778546,Indian Restaurant,0
Koukaki,37.9634559,23.7220234,Παγκάκι,37.9626743346998,23.722356365338513,Café,0
Koukaki,37.9634559,23.7220234,Κουκί,37.96325384734019,23.721734410483542,Café,0
Koukaki,37.9634559,23.7220234,Bite Box,37.963626,23.72173,Snack Place,0
Koukaki,37.9634559,23.7220234,Γιουμπάμπα,37.9633486509894,23.721526306931626,Meze Restaurant,0
Koukaki,37.9634559,23.7220234,ΑΣύΜΜΕΤΡΟ,37.96282757775163,23.722268315321198,Café,0
